container,Match,Container,Pallet,notes,Created TS
00008178100         ,TRUE,TRUE,TRUE,,3/5/2021 7:01:35 AM
00008178101113037528,TRUE,TRUE,TRUE,,2/27/2021 10:52:45 AM
00008178101113291357,TRUE,TRUE,TRUE,,2/27/2021 1:07:37 PM
00008178101113291395,TRUE,TRUE,TRUE,,3/1/2021 12:08:30 PM
00008178101113291678,TRUE,TRUE,TRUE,,3/2/2021 8:30:35 AM
00008178101113291821,TRUE,TRUE,TRUE,,3/1/2021 8:25:30 AM
00008178101113291883,TRUE,TRUE,TRUE,,2/27/2021 11:35:43 AM
00008178101113292187,TRUE,TRUE,TRUE,,3/2/2021 5:48:53 AM
00008178101113339295,TRUE,TRUE,TRUE,,2/27/2021 11:26:36 AM
00008178101113339448,TRUE,TRUE,TRUE,,3/2/2021 8:26:31 AM
00008178101113349966,TRUE,TRUE,TRUE,,3/1/2021 8:21:14 AM
00008178101113350009,TRUE,TRUE,TRUE,,3/2/2021 5:37:50 AM
00008178101113350405,TRUE,TRUE,TRUE,,3/1/2021 1:35:38 PM
00008178101113350689,TRUE,TRUE,TRUE,,3/2/2021 11:15:49 AM
00008178101113351181,TRUE,TRUE,TRUE,,2/27/2021 12:58:37 PM
00008178101113351990,TRUE,TRUE,TRUE,,3/1/2021 3:17:11 PM
00008178101113352171,TRUE,TRUE,TRUE,,3/1/2021 11:57:47 AM
00008178101113390579,TRUE,TRUE,TRUE,,3/1/2021 1:37:48 PM
00008178101113430251,TRUE,TRUE,TRUE,,2/27/2021 1:06:05 PM
00008178101113430312,TRUE,TRUE,TRUE,,2/27/2021 11:33:58 AM
00008178101113451058,TRUE,TRUE,TRUE,,3/1/2021 1:40:08 PM
00008178101113475764,TRUE,TRUE,TRUE,,2/27/2021 1:05:24 PM
00008178101113476907,TRUE,TRUE,TRUE,,2/27/2021 11:33:05 AM
00008178101113507625,TRUE,TRUE,TRUE,,2/27/2021 1:17:03 PM
00008178101113508875,TRUE,TRUE,TRUE,,2/27/2021 11:45:52 AM
